MARCA;CODIGO;DESCRIPCION;CANTIDAD;MINIMO;UBICACIÓN;SERIAL;PRECIO_COSTO;PRECIO_DIST;PRECIO_INT;PRECIO_GENERAL;IMAGEN;;;;;;;;;;;;
ABB;1SL0201A00;ABB - Gabinete 300x250x180mm en plástico;;;;;74.38;111.57;130.16;148.76;;;;;;;;;;;;;
ABB;1SL0204A00;ABB - Gabinete 700x590x260mm en plastico;;;;;142.09;213.14;248.66;284.18;;;;;;;;;;;;;
ABB;1SL0203A00;ABB - Gabinete 700x450x300mm en plastico;;;;;104.81;157.22;183.42;209.62;;;;;;;;;;;;;
ABB;1SL0202A00;ABB - Gabinete 450x375x230mm en plastico;;;;;95.53;143.29;167.17;191.06;;;;;;;;;;;;;
ABB;1SAZ811201R1003;ABB - Rele termico para contactores de 30..40A 690VAC serie TF65-40;;;;;40.20;60.30;70.35;80.40;;;;;;;;;;;;;
ABB;1SAM250000R1010;ABB - Guardamotor de 6.3...10A serie MS116-10;;;;;28.50;42.75;49.87;57.00;;;;;;;;;;;;;
ABB;1SAM250000R1009;ABB - Guardamotor de 4...6.3A serie MS116-6.3;;;;;23.85;35.78;41.74;47.70;;;;;;;;;;;;;
ABB;1SAZ721201R1047;ABB - Rele termico para contactores de 13..16A 690VAC serie TF42-16;;;;;22.39;33.59;39.19;44.78;;;;;;;;;;;;;
ABB;1SAM250000R1007;ABB - Guardamotor de 1.6..2.5A serie MS116-2.5;;;;;24.21;36.31;42.36;48.42;;;;;;;;;;;;;
ABB;1SBL177001R1310;ABB - Contactor 18A Bobina 110V 1NO Serie AF16-30;;;;;24.18;36.27;42.31;48.36;;;;;;;;;;;;;
ABB;1SAM250000R1006;ABB - Guardamotor de 1..1.6A Serie MS116-1.6;;;;;24.21;36.31;42.36;48.42;;;;;;;;;;;;;
ABB;1SAM250000R1002;ABB - Guardamotor de 0.16..0.25A serie MS116-0.25;;;;;19.43;29.15;34.00;38.86;;;;;;;;;;;;;
ABB;1SBL137001R1310;ABB - Contactor 9A Bobina 120V 1NO Serie AF09-30;;;;;17.23;25.84;30.15;34.46;;;;;;;;;;;;;
ABB;1SBN010120T1011;ABB - Contacto auxiliar 1NC-1NO Serie CAL4-11-T;;;;;4.55;6.83;7.97;9.10;;;;;;;;;;;;;
ABB;1SBN010140R1104;ABB - Contacto auxiliar 4NC Serie CA4-04M;;;;;7.55;11.32;13.21;15.10;;;;;;;;;;;;;
ABB;1SVR550217R4100;ABB - Rele electronico - temporizador serie CT-SDE;;;;;45.80;68.70;80.15;91.60;;;;;;;;;;;;;
ABB;2CDS200946R0001;ABB - Contacto auxiliar para mini interruptor 1CO Serie SC2-H6-11R;;;;;29.38;43.98;51.36;58.76;;;;;;;;;;;;;
ABB;1SFN010720R1011;ABB - Contacto auxiliar 1NC-1NO Serie CAL18-11;;;;;14.26;21.39;24.96;28.92;;;;;;;;;;;;;
ABB;1SBN010020R1011;ABB - Contacto auxiliar 1NC-1NO Serie CAL5-11;;;;;8.61;12.92;15.07;17.22;;;;;;;;;;;;;
ABB;2CDS251001R0044;ABB - Interruptor min din 4A 1P serie S200-C;;;;;6.14;9.21;10.74;12.28;;;;;;;;;;;;;
ABB;2CDS251001R0104;ABB - Interruptor min din 10A 1P serie S200-C;;;;;5.49;8.23;9.60;10.98;;;;;;;;;;;;;
ABB;2CDS251001R0254;ABB - Interruptor min din 25A 1P serie S200-C;;;;;5.49;8.23;9.60;10.98;;;;;;;;;;;;;
ABB;2CDS251001R0064;ABB - Interruptor min din 6A 1P serie S200-C;;;;;5.49;8.23;9.60;10.98;;;;;;;;;;;;;
ABB;2CDS251001R0404;ABB - Interruptor min din 40A 1P serie S200-C;;;;;6.59;9.88;11.53;13.18;;;;;;;;;;;;;
ABB;2CDS251001R0024;ABB - Interruptor min din 2A 1P serie S200-C;;;;;5.49;8.23;9.60;10.98;;;;;;;;;;;;;
ABB;2CDS251001R0204;ABB - Interruptor min din 20A 1P serie S200-C;;;;;6.04;9.06;10.57;12.08;;;;;;;;;;;;;
ABB;2CDS251001R0164;ABB - Interruptor min din 16A 1P serie S200-C;;;;;5.23;7.90;9.15;10.46;;;;;;;;;;;;;
ABB;2CDS252001R0044;ABB - Interruptor min din 4A 2P serie S200-C;;;;;11.92;17.88;20.86;23.84;;;;;;;;;;;;;
ABB;2CDS252001R0634;ABB - Interruptor min din 63A 2P serie S200-C;;;;;13.05;19.57;22.83;26.10;;;;;;;;;;;;;
ABB;2CDS252001R0164;ABB - Interruptor min din 16A 2P serie S200-C;;;;;9.60;14.40;16.80;19.20;;;;;;;;;;;;;
ABB;2CDS252001R0504;ABB - Interruptor min din 50A 2P serie S200-C;;;;;13.05;19.57;22.83;26.10;;;;;;;;;;;;;
ABB;2CDS252001R0104;ABB - Interruptor min din 10A 2P serie S200-C;;;;;9.60;14.40;16.80;19.20;;;;;;;;;;;;;
ABB;2CDS252001R0404;ABB - Interruptor min din 40A 2P serie S200-C;;;;;12.19;18.29;21.33;24.38;;;;;;;;;;;;;
ABB;2CDS252001R0324;ABB - Interruptor min din 32A 2P serie S200-C;;;;;9.60;14.40;16.80;19.20;;;;;;;;;;;;;
ABB;2CDS252001R0254;ABB - Interruptor min din 25A 2P serie S200-C;;;;;9.60;14.40;16.80;19.20;;;;;;;;;;;;;
ABB;2CDS252001R0204;ABB - Interruptor min din 20A 2P serie S200-C;;;;;9.60;14.40;16.80;19.20;;;;;;;;;;;;;
ABB;2CDS252001R0024;ABB - Interruptor min din 2A 2P serie S200-C;;;;;11.92;17.88;20.86;23.84;;;;;;;;;;;;;
ABB;2CDS253001R0104;ABB - Interruptor min din 10A 3P serie S200-C;;;;;13.50;20.25;23.62;27.00;;;;;;;;;;;;;
ABB;2CDS253001R0404;ABB - Interruptor min din 40A 3P serie S200-C;;;;;18.83;28.24;32.95;37.66;;;;;;;;;;;;;
